"","cl1","cl10","cl11","cl12","cl13","cl14","cl15","cl18","cl19","cl21","cl22","cl24","cl3","cl4","cl5","cl6","cl7","cl8","cl9"
"cl1",0.168347651722101,0,0.0235612623902517,0.00192195253379336,0,0,0,0,0,0.00782057929873292,0,0.00050648931376668,0,0,0,0,0.000185341701110187,0,0
"cl10",0,0.75753211042651,0,0.000111970197935869,0.0193827619540278,0.00335203290597252,0.00109973510987399,0.161437342587895,0.000644728131921056,0.0284963148292952,0.00389516564292069,0.00952919317053158,0.00822756857155602,0.0121297500033617,0.00287261113046153,6.41725280944296e-05,0.00135392523105455,0.0229439871394142,0.0159123883532804
"cl11",0.0235612623902517,0,0.484323248721011,0.000514370947877127,0,0,0,0,0,0.00506896378970166,0,0.0130176103614871,0,0,0,1.05218855218856e-05,0.000598261407140519,0,0
"cl12",0.00192195253379336,0.000111970197935869,0.000514370947877127,0.860946614592664,0,0,0.0101950830661326,0,0.0190285203418733,0.000144438362829167,0,0.0438189872765619,0,0.00140741423177188,0,0.00566070860367156,0.000547211008418621,0,0
"cl13",0,0.0193827619540278,0,0,0.522414258526916,0.0460668460443758,0,0.0694284998507371,0,0.058538009604146,0.106371001198728,0.000659782768051162,0.00112641741419227,0.00336837809713653,0.0707787154408108,0,0.00152660820879178,0.0103057946663938,0.162032644923388
"cl14",0,0.00335203290597252,0,0,0.0460668460443758,0.659670566717278,0,0.0336414337921487,0,0.0738320350608907,0.0853615234533684,0.00773839469757233,5.03745915909073e-05,0.00179392624675708,0.0256211785508958,8.26739053201081e-05,0.00535655438079917,0.00225984377929779,0.105439269961619
"cl15",0,0.00109973510987399,0,0.0101950830661326,0,0,0.804048731670873,0,0.0332524782763493,0,0,0.060974572775068,0,0.0102050115508058,0,0.0336752437618469,0,0,0
"cl18",0,0.161437342587895,0,0,0.0694284998507371,0.0336414337921487,0,0.43098059818775,0,0.0788939649637551,0.0431111768653504,0.00603501829158285,0.000905845498707678,0.00250491144359412,0.0385330492898377,0,0.00106588903677775,0.0698763022493738,0.0788118530741111
"cl19",0,0.000644728131921056,0,0.0190285203418733,0,0,0.0332524782763493,0,0.904918271402747,0,0,0.0600370260335549,0,0.006124927409135,0,0.012109005546049,0,0,0
"cl21",0.00782057929873292,0.0284963148292952,0.00506896378970166,0.000144438362829167,0.058538009604146,0.0738320350608907,0,0.0788939649637551,0,0.544069056250788,0.114657594867194,0.0688358902006379,0.00330805563814218,0.00249287137237764,0.093752036141214,3.56125356125357e-05,0.0101713163473566,0.0431474732015982,0.0723760704259595
"cl22",0,0.00389516564292069,0,0,0.106371001198728,0.0853615234533684,0,0.0431111768653504,0,0.114657594867194,0.653107759115988,0.00355587691632412,0.0105934066193699,0.0032964163701568,0.352954775932215,0,0.00255467820317728,0.080952907385118,0.219008539361642
"cl24",0.00050648931376668,0.00952919317053158,0.0130176103614871,0.0438189872765619,0.000659782768051162,0.00773839469757233,0.060974572775068,0.00603501829158285,0.0600370260335549,0.0688358902006379,0.00355587691632413,0.594651979644546,3.96825396825397e-05,0.0953504664790154,0.000455765568213587,0.0334787935247621,0.00892904466422213,6.25625625625625e-05,0.00255349087497534
"cl3",0,0.00822756857155602,0,0,0.00112641741419227,5.03745915909073e-05,0,0.000905845498707678,0,0.00330805563814218,0.0105934066193699,3.96825396825397e-05,0.740259425023902,0.000136590540952319,0.0288599052240065,0,0.0240635347247365,0.00388676254046029,0.000843039329841243
"cl4",0,0.0121297500033617,0,0.00140741423177188,0.00336837809713653,0.00179392624675708,0.0102050115508058,0.00250491144359412,0.006124927409135,0.00249287137237764,0.0032964163701568,0.0953504664790154,0.000136590540952319,0.676248333560856,0.00188570144980795,0.000443903029302261,0.00275576592909045,0.000507736455508551,0.00452707138826758
"cl5",0,0.00287261113046153,0,0,0.0707787154408108,0.0256211785508958,0,0.0385330492898377,0,0.093752036141214,0.352954775932215,0.000455765568213587,0.0288599052240065,0.00188570144980795,0.688465617258394,0,0.00202378174282352,0.160438763137498,0.0349444267916905
"cl6",0,6.41725280944296e-05,1.05218855218856e-05,0.00566070860367156,0,8.26739053201081e-05,0.0336752437618469,0,0.012109005546049,3.56125356125357e-05,0,0.0334787935247621,0,0.000443903029302261,0,0.842216794940957,3.84171175699505e-05,0,1.37241985068072e-05
"cl7",0.000185341701110187,0.00135392523105455,0.000598261407140519,0.000547211008418621,0.00152660820879178,0.00535655438079917,0,0.00106588903677775,0,0.0101713163473566,0.00255467820317728,0.00892904466422213,0.0240635347247365,0.00275576592909045,0.00202378174282352,3.84171175699505e-05,0.756274350310855,0.000358764882948948,0.0015266256007741
"cl8",0,0.0229439871394142,0,0,0.0103057946663938,0.00225984377929779,0,0.0698763022493738,0,0.0431474732015982,0.080952907385118,6.25625625625625e-05,0.00388676254046029,0.000507736455508551,0.160438763137498,0,0.000358764882948948,0.763262706804448,0.00351635532343693
"cl9",0,0.0159123883532804,0,0,0.162032644923388,0.105439269961619,0,0.0788118530741111,0,0.0723760704259595,0.219008539361642,0.00255349087497534,0.000843039329841243,0.00452707138826758,0.0349444267916905,1.37241985068072e-05,0.0015266256007741,0.00351635532343693,0.565413184973644
